% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1012	1	1	6	0	2	65	0	1
1013	1	1	6	0	2	65	0	1
1014	1	1	6	0	2	65	0	1
1015	1	1	6	0	2	65	0	1
1016	1	1	6	0	2	65	0	1
1017	1	1	6	0	2	65	0	1
1017	1	3	58	0	6	153	0	1
1019	1	1	6	0	28	1095	0	1
1021	1	1	6	0	28	1095	0	1
1022	1	1	6	0	28	1095	0	1
1023	1	1	6	0	28	1095	0	1
1024	1	1	6	0	28	1095	0	1
1025	1	1	6	0	2	87	0	1
1026	1	1	6	0	28	1095	0	1
1027	1	3	58	0	6	209	0	1
1033	1	3	58	0	6	209	0	1
1045	1	3	58	0	28	1479	0	1
1047	1	3	58	0	28	1479	0	1
1055	2	19	62	0	28	2292	0	1
1056	3	25	123	0	28	1479	0	1
1060	3	25	123	0	28	1479	0	1
1067	2	19	62	0	28	2292	0	1
1075	2	19	62	0	28	2292	0	1
1081	2	19	62	0	28	2292	0	1
1083	3	25	123	0	28	1479	0	1
1091	2	19	62	0	28	2292	0	1
1100	2	19	62	0	28	2292	0	1
1106	1	1	6	0	28	1095	0	1
1106	1	3	58	0	28	1095	0	1
1114	3	25	123	0	28	1479	0	1
1131	3	25	123	0	28	1479	0	1
1136	2	19	62	0	28	2292	0	1
1139	3	25	123	0	28	1479	0	1
1156	2	19	62	0	28	2292	0	1
1156	3	25	123	0	28	1479	0	1
1157	3	25	123	0	28	1479	0	1
1160	3	25	123	0	28	1479	0	1
1176	1	5	49	0	6	325	0	1
1182	3	25	123	0	28	1479	0	1
1187	3	25	123	0	28	1479	0	1
1199	1	5	49	0	28	2292	0	1
1200	1	1	6	0	2	65	0	1
1202	1	1	6	0	2	65	0	1
1203	1	1	6	0	2	87	0	1
1204	1	1	6	0	2	87	0	1
1205	1	1	6	0	2	87	0	1
1208	1	1	6	0	2	87	0	1
1209	1	1	6	0	2	87	0	1
1209	2	19	62	0	28	2292	0	1
1210	1	1	6	0	2	87	0	1
1211	1	1	6	0	2	87	0	1
1212	1	1	6	0	2	87	0	1
1212	2	19	62	0	28	2292	0	1
1213	1	1	6	0	2	87	0	1
1214	1	1	6	0	2	87	0	1
1215	1	1	6	0	28	1479	0	1
1217	1	1	6	0	28	1479	0	1
1218	1	1	6	0	28	1479	0	1
1219	1	1	6	0	2	87	0	0
1220	1	1	6	0	28	1479	0	1
1221	1	1	6	0	28	1479	0	1
1222	1	1	6	0	28	1479	0	1
1225	3	25	123	0	28	1479	0	1
1242	3	25	123	0	28	1479	0	1
1248	3	25	123	0	28	1479	0	1
1249	3	25	123	0	28	1479	0	1
1251	3	25	123	0	28	1479	0	1
1262	3	25	123	0	28	1479	0	1
1271	3	25	123	0	28	1479	0	1
1282	3	25	123	0	28	1479	0	1
1289	3	25	123	0	28	1479	0	1
1292	3	25	123	0	28	1479	0	1
1294	1	1	6	0	2	65	0	1
1295	1	1	6	0	2	65	0	1
1297	1	1	6	0	2	65	0	1
1298	1	1	6	0	2	65	0	1
1298	3	25	123	0	28	1479	0	1
1299	1	1	6	0	2	65	0	1
1300	1	1	6	0	2	65	0	1
1301	1	1	6	0	28	1095	0	1
1303	1	1	6	0	28	1095	0	1
1304	1	1	6	0	28	1095	0	1
1305	1	1	6	0	4	105	0	1
1306	1	1	6	0	28	1095	0	1
1307	1	1	6	0	28	1095	0	1
1307	2	17	21	0	28	2292	0	1
1308	1	1	6	0	28	1095	0	1
1318	2	17	21	0	28	2292	0	1
1335	1	5	49	0	6	209	0	1
1339	1	5	49	0	6	209	0	1
1342	1	5	49	0	28	1479	0	1
1346	1	5	49	0	28	1479	0	1
1346	2	17	21	0	28	2292	0	1
1350	2	17	21	0	28	2292	0	1
1357	2	17	21	0	28	2292	0	1
1361	2	17	21	0	28	2292	0	1
1368	2	17	21	0	28	2292	0	1
1370	2	17	21	0	28	2292	0	1
1375	2	17	21	0	28	2292	0	1
1388	1	1	6	0	28	1095	0	1
1389	1	1	6	0	28	1095	0	1
1394	1	3	58	0	6	325	0	1
1407	1	3	58	0	28	2292	0	1
1409	2	17	21	0	28	2292	0	1
1420	3	25	123	0	28	1479	0	1
1435	3	25	123	0	28	1479	0	1
1437	1	3	58	0	28	2292	0	1
1439	1	3	58	0	28	2292	0	1
1442	2	17	21	0	28	2292	0	1
1443	2	17	21	0	28	2292	0	1
1451	2	17	21	0	28	2292	0	1
1452	2	17	21	0	28	2292	0	1
1453	3	25	123	0	28	1479	0	1
1459	3	25	123	0	28	1479	0	1
1470	3	25	123	0	28	1479	0	1
1476	3	25	123	0	28	1479	0	1
1482	1	1	6	0	2	65	0	1
1483	1	1	6	0	2	65	0	1
1484	1	1	6	0	2	87	0	1
1485	1	1	6	0	2	87	0	1
1486	1	1	6	0	2	87	0	1
1487	1	1	6	0	2	87	0	1
1489	1	1	6	0	2	87	0	1
1490	1	1	6	0	2	87	0	1
1491	1	1	6	0	28	1479	0	1
1493	1	1	6	0	28	1479	0	1
1494	3	25	123	0	28	1479	0	1
1496	1	1	6	0	28	1479	0	1
1498	1	1	6	0	28	1479	0	1
1505	2	17	21	0	28	2292	0	1
1518	2	17	21	0	28	2292	0	1
1520	3	25	123	0	28	1479	0	1
1525	3	25	123	0	28	1479	0	1
1531	2	17	21	0	28	2292	0	1
1531	3	25	123	0	28	1479	0	1
1541	3	25	123	0	0	53	0	1
1555	3	25	123	0	28	1479	0	1
1566	3	25	123	0	28	1479	0	1
1575	3	25	123	0	28	1479	0	1
1576	1	1	6	0	28	1095	0	1
1577	1	1	6	0	28	1095	0	1
1577	1	3	58	0	6	153	0	1
1577	1	5	49	0	6	153	0	1
1584	3	25	123	0	28	1479	0	1
1587	3	25	123	0	28	1479	0	1
1589	3	25	123	0	28	1479	0	1
1593	3	25	123	0	28	1479	0	1
1603	1	5	49	0	6	209	0	1
1606	1	3	58	0	6	209	0	1
1621	3	25	123	0	28	1479	0	1
1623	3	25	123	0	28	1479	0	1
1631	3	25	123	0	28	1479	0	1
1642	2	17	21	0	28	2292	0	1
1646	1	3	58	0	28	1479	0	1
1647	3	25	123	0	28	1479	0	1
1650	3	25	123	0	28	1479	0	1
1656	1	5	49	0	6	209	0	1
1661	1	3	58	0	28	1479	0	1
1665	3	25	123	0	28	1479	0	1
1670	2	19	62	0	28	2292	0	1
1673	1	1	6	0	2	87	0	1
1674	1	1	6	0	2	87	0	1
1675	1	1	6	0	2	87	0	1
1675	2	17	21	0	28	2292	0	1
1676	1	1	6	0	2	87	0	1
1677	1	1	6	0	2	87	0	1
1679	1	1	6	0	2	87	0	1
1680	1	1	6	0	28	1479	0	1
1682	1	1	6	0	2	87	0	0
1684	1	1	6	0	28	1479	0	1
1685	1	1	6	0	28	1479	0	1
1686	1	1	6	0	28	1479	0	1
1687	1	1	6	0	28	1479	0	1
1693	3	25	123	0	28	1479	0	1
1696	3	25	123	0	28	1479	0	1
1717	3	25	123	0	28	1479	0	1
1765	1	1	6	0	2	65	0	1
1766	1	1	6	0	2	65	0	1
1767	1	1	6	0	28	1479	0	1
1774	1	1	6	0	28	1479	0	1
1776	3	25	123	0	28	1479	0	1
1779	3	25	123	0	28	1479	0	1
1783	3	25	123	0	28	1479	0	1
1789	3	25	123	0	28	1479	0	1
1790	3	25	123	0	28	1479	0	1
1792	2	17	21	0	28	2292	0	1
1796	3	25	123	0	28	1479	0	1
1797	3	25	123	0	28	1479	0	1
1811	3	25	123	0	28	1479	0	1
1812	2	17	21	0	28	2292	0	1
1824	3	25	123	0	28	1479	0	1
1826	1	5	49	0	6	325	0	1
1828	1	5	49	0	6	325	0	1
1829	1	5	49	0	6	325	0	1
1831	2	17	21	0	28	2292	0	1
1832	3	25	123	0	28	1479	0	1
1835	2	19	62	0	28	2292	0	1
1835	3	25	123	0	28	1479	0	1
1837	3	25	123	0	28	1479	0	1
1838	2	17	21	0	28	2292	0	1
1840	3	25	123	0	28	1479	0	1
1843	3	25	123	0	0	53	0	1
1854	2	17	21	0	28	2292	0	1
1855	1	5	49	0	28	2292	0	1
1858	2	17	21	0	28	2292	0	1
1859	1	1	6	0	28	1095	0	1
1859	2	17	21	0	28	2292	0	1
1859	3	25	123	0	28	1479	0	1
1860	1	1	6	0	28	1095	0	1
1865	3	25	123	0	28	1479	0	1
1866	1	1	6	0	28	1095	0	0
1875	3	25	123	0	28	1479	0	1
1884	3	25	123	0	28	1479	0	1
1913	3	25	123	0	28	1479	0	1
1926	3	25	123	0	28	1479	0	1
1935	3	25	123	0	28	1479	0	1
1953	1	1	6	0	2	65	0	1
1955	1	1	6	0	2	65	0	1
1955	2	17	21	0	28	2292	0	1
1956	1	1	6	0	2	65	0	1
1957	1	1	6	0	2	65	0	1
1958	1	1	6	0	2	65	0	1
1959	1	1	6	0	2	65	0	1
1960	1	1	6	0	28	1095	0	1
1962	1	1	6	0	2	65	0	0
1962	2	17	21	0	28	2292	0	0
1963	1	1	6	0	28	1095	0	1
1964	1	1	6	0	28	1095	0	1
1965	1	1	6	0	28	1095	0	1
1966	1	1	6	0	28	1095	0	1
1967	1	1	6	0	28	1095	0	1
1967	3	25	123	0	28	1479	0	1
1971	3	25	123	0	28	1479	0	1
1980	3	25	123	0	28	1479	0	1
1983	1	5	49	0	6	209	0	1
1985	1	3	58	0	6	209	0	1
1992	3	25	123	0	28	1479	0	1
1994	2	19	62	0	28	2292	0	1
1998	2	19	62	0	28	2292	0	1
2000	1	3	58	0	28	1479	0	1
2014	3	25	123	0	28	1479	0	1
2019	1	3	58	0	28	1479	0	1
2027	3	25	123	0	28	1479	0	1
2033	3	25	123	0	28	1479	0	1
2037	3	25	123	0	28	1479	0	1
2038	2	19	62	0	28	2292	0	1
2039	2	19	62	0	28	2292	0	1
2040	1	3	58	0	28	1479	0	1
2040	3	25	123	0	28	1479	0	1
2044	2	19	62	0	28	2292	0	1
2044	3	25	123	0	28	1479	0	1
2047	1	1	6	0	28	1095	0	1
2048	1	1	6	0	28	1095	0	1
2061	3	25	123	0	0	53	0	1
2071	3	25	123	0	28	1479	0	1
2079	3	25	123	0	28	1479	0	1
2110	3	25	123	0	28	1479	0	1
2114	3	25	123	0	28	1479	0	1
2119	2	17	21	0	28	2292	0	1
2134	2	17	21	0	28	2292	0	1
2136	3	25	123	0	28	1479	0	1
2140	3	25	123	0	28	1479	0	1
2141	1	1	6	0	2	65	0	1
2142	1	1	6	0	2	65	0	1
2143	1	1	6	0	2	65	0	1
2144	1	1	6	0	2	65	0	1
2144	1	3	58	0	6	153	0	1
2144	1	5	49	0	6	153	0	1
2145	1	1	6	0	2	65	0	1
2146	3	25	123	0	28	1479	0	1
2147	1	1	6	0	2	65	0	1
2148	1	1	6	0	28	1095	0	1
2148	2	19	62	0	28	2292	0	1
2149	3	25	123	0	28	1479	0	1
2150	1	1	6	0	28	1095	0	1
2151	1	1	6	0	28	1095	0	1
2152	1	1	6	0	2	87	0	1
2154	1	1	6	0	28	1095	0	1
2154	3	25	123	0	28	1479	0	1
2155	1	1	6	0	28	1095	0	1
2170	3	25	123	0	28	1479	0	1
2179	2	19	62	0	28	2292	0	1
2182	3	25	123	0	28	1479	0	1
2191	2	19	62	0	28	2292	0	1
2201	3	25	123	0	28	1479	0	1
2214	3	25	123	0	28	1479	0	1
2218	3	25	123	0	28	1479	0	1
2230	2	19	62	0	28	2292	0	1
2234	2	19	62	0	28	2292	0	1
2236	1	1	6	0	28	1095	0	1
2236	3	25	123	0	28	1479	0	1
2237	1	1	6	0	28	1095	0	1
2240	2	19	62	0	28	2292	0	1
2243	1	1	6	0	28	1095	0	0
2257	2	19	62	0	28	2292	0	1
2282	2	19	62	0	28	2292	0	1
2288	2	19	62	0	28	2292	0	1
2291	2	19	62	0	28	2292	0	1
2296	1	5	49	0	6	209	0	1
2297	1	5	49	0	6	209	0	1
2303	2	19	62	0	28	2292	0	1
2306	1	3	58	0	6	209	0	1
2308	1	5	49	0	28	1479	0	1
2310	1	3	58	0	6	209	0	1
2311	1	3	58	0	6	209	0	1
2312	2	19	62	0	28	2292	0	1
2316	1	5	49	0	28	1479	0	1
2321	2	19	62	0	28	2292	0	1
2328	1	5	49	0	28	1479	0	1
2330	1	1	6	0	2	65	0	1
2333	1	1	6	0	2	65	0	1
2334	1	1	6	0	2	87	0	1
2335	1	1	6	0	2	137	0	1
2336	1	1	6	0	2	137	0	1
2338	1	1	6	0	2	87	0	1
2340	1	1	6	0	2	87	0	1
2341	1	1	6	0	28	1479	0	1
2343	1	1	6	0	28	1479	0	1
2345	1	1	6	0	28	1479	0	1
2347	1	1	6	0	28	1479	0	1
2348	1	1	6	0	28	1479	0	1
2383	3	25	123	0	28	1479	0	1
2390	2	19	62	0	28	2292	0	1
2392	2	19	62	0	28	2292	0	1
2393	3	25	123	0	28	1479	0	1
2394	3	25	123	0	28	1479	0	1
2404	2	19	62	0	28	2292	0	1
2423	3	25	123	0	28	1479	0	1
2424	1	1	6	0	2	65	0	1
2425	1	1	6	0	2	65	0	1
2426	1	1	6	0	2	65	0	1
2427	1	1	6	0	2	65	0	1
2427	3	25	123	0	28	1479	0	1
2428	1	1	6	0	2	65	0	1
2429	1	1	6	0	2	65	0	1
2431	1	1	6	0	28	1095	0	1
2432	2	19	62	0	28	2292	0	1
2433	1	1	6	0	28	1095	0	1
2433	3	25	123	0	28	1479	0	1
2434	1	1	6	0	4	105	0	1
2435	1	1	6	0	28	1095	0	1
2436	1	1	6	0	28	1095	0	1
2437	1	1	6	0	28	1095	0	1
2438	1	1	6	0	28	1095	0	1
2448	3	25	123	0	28	1479	0	1
2455	1	5	49	0	6	209	0	1
2459	1	5	49	0	6	209	0	1
2460	1	5	49	0	6	209	0	1
2460	3	25	123	0	28	1479	0	1
2464	1	3	58	0	6	209	0	1
2467	1	5	49	0	28	1479	0	1
2467	3	25	123	0	28	1479	0	1
2481	2	19	62	0	28	2292	0	1
2487	2	19	62	0	28	2292	0	1
2487	3	25	123	0	28	1479	0	1
2491	2	19	62	0	28	2292	0	1
2503	1	5	49	0	28	1479	0	1
2510	1	5	49	0	28	1479	0	1
2515	1	5	49	0	28	1479	0	1
2518	1	1	6	0	28	1095	0	1
2519	1	1	6	0	28	1095	0	1
2522	2	19	62	0	28	2292	0	1
2543	3	25	123	0	28	1479	0	1
2548	2	19	62	0	28	2292	0	1
2563	2	19	62	0	28	2292	0	1
2565	3	25	123	0	28	1479	0	1
2570	2	19	62	0	28	2292	0	1
2571	2	19	62	0	28	2292	0	1
2572	3	25	123	0	28	1479	0	1
2581	2	19	62	0	28	2292	0	1
2596	2	19	62	0	28	2292	0	1
2597	2	19	62	0	28	2292	0	1
2603	2	19	62	0	28	2292	0	1
2604	2	19	62	0	28	2292	0	1
2612	1	1	6	0	2	65	0	1
2613	1	1	6	0	2	65	0	1
2614	1	1	6	0	2	65	0	1
2615	1	1	6	0	2	65	0	1
2616	1	1	6	0	2	65	0	1
2617	1	1	6	0	2	65	0	1
2618	1	1	6	0	2	65	0	1
2621	1	1	6	0	28	1095	0	1
2622	1	1	6	0	28	1095	0	1
2623	1	1	6	0	28	1095	0	1
2632	3	25	123	0	28	1479	0	1
2643	2	19	62	0	28	2292	0	1
2645	1	3	58	0	6	209	0	1
2646	1	3	58	0	6	209	0	1
2647	3	25	123	0	28	1479	0	1
2655	1	3	58	0	28	1479	0	1
2661	3	25	123	0	28	1479	0	1
2662	1	3	58	0	28	1479	0	1
2663	3	25	123	0	28	1479	0	1
2665	1	3	58	0	28	1479	0	1
2671	2	19	62	0	28	2292	0	1
2671	3	25	123	0	28	1479	0	1
2682	3	25	123	0	0	53	0	1
2683	3	25	123	0	0	53	0	1
2690	1	3	58	0	28	1479	0	1
2694	1	3	58	0	28	1479	0	1
2694	3	25	123	0	28	1479	0	1
2701	3	25	123	0	28	1479	0	1
2704	3	25	123	0	28	1479	0	1
2707	1	1	6	0	28	1095	0	1
2708	3	25	123	0	28	1479	0	1
2730	3	25	123	0	28	1479	0	1
2749	2	17	21	0	28	2292	0	1
2756	3	25	123	0	28	1479	0	1
2761	2	17	21	0	28	2292	0	1
2768	3	25	123	0	28	1479	0	1
2772	3	25	123	0	28	1479	0	1
2786	3	25	123	0	28	1479	0	1
2790	2	19	62	0	28	2292	0	1
2793	2	19	62	0	28	2292	0	1
2795	2	19	62	0	28	2292	0	1
2801	1	1	6	0	2	65	0	1
2802	1	1	6	0	2	65	0	1
2802	2	19	62	0	28	2292	0	1
2804	1	1	6	0	2	65	0	1
2807	1	1	6	0	2	65	0	1
2808	1	1	6	0	28	1095	0	1
2810	1	1	6	0	28	1095	0	1
2812	1	1	6	0	28	1095	0	1
2813	2	19	62	0	28	2292	0	1
2814	1	1	6	0	28	1095	0	1
2821	2	19	62	0	28	2292	0	1
2830	3	25	123	0	28	1479	0	1
2841	3	25	123	0	28	1479	0	1
2865	3	25	123	0	28	1479	0	1
2877	2	19	62	0	28	2292	0	1
2882	3	25	123	0	28	1479	0	1
2887	3	25	123	0	28	1479	0	1
2888	2	19	62	0	28	2292	0	1
2892	2	19	62	0	28	2292	0	1
2893	2	19	62	0	28	2292	0	1
2895	1	1	6	0	2	65	0	1
2896	1	1	6	0	2	65	0	1
2897	1	1	6	0	2	65	0	1
2898	1	1	6	0	2	65	0	1
2899	1	1	6	0	2	65	0	1
2900	1	1	6	0	2	65	0	1
2901	1	1	6	0	2	65	0	1
2902	1	1	6	0	28	1095	0	1
2905	1	1	6	0	28	1095	0	1
2906	1	1	6	0	28	1095	0	1
2907	1	1	6	0	28	1095	0	1
2909	1	1	6	0	28	1095	0	1
2909	2	19	62	0	28	2292	0	1
2916	2	19	62	0	28	2292	0	1
2930	2	19	62	0	28	2292	0	1
2931	2	19	62	0	28	2292	0	1
2939	2	19	62	0	28	2292	0	1
2945	1	3	58	0	6	209	0	1
2945	3	25	123	0	28	1479	0	1
2950	1	5	49	0	6	209	0	1
2957	3	25	123	0	28	1479	0	1
2959	1	5	49	0	28	1479	0	1
2965	2	19	62	0	28	2292	0	1
2967	3	25	123	0	28	1479	0	1
2969	3	25	123	0	28	1479	0	1
2976	1	5	49	0	28	1479	0	1
2984	3	25	123	0	28	1479	0	1
2986	1	5	49	0	28	1479	0	1
2989	1	1	6	0	28	1095	0	1
2990	1	1	6	0	28	1095	0	1
2998	3	25	123	0	28	1479	0	1
3007	2	19	62	0	28	2292	0	1
3008	2	19	62	0	28	2292	0	1
3016	3	25	123	0	28	1479	0	1
3018	2	19	62	0	28	2292	0	1
3027	3	25	123	0	28	1479	0	1
3033	3	25	123	0	28	1479	0	1
3037	3	25	123	0	28	1479	0	1
3041	2	19	62	0	28	2292	0	1
3046	3	25	123	0	28	1479	0	1
3048	3	25	123	0	28	1479	0	1
3053	3	25	123	0	28	1479	0	1
3056	3	25	123	0	28	1479	0	1
3059	2	19	62	0	28	2292	0	1
3068	2	19	62	0	28	2292	0	1
3083	1	1	6	0	2	65	0	1
3084	1	1	6	0	2	65	0	1
3085	1	1	6	0	2	65	0	1
3086	1	1	6	0	2	65	0	1
3091	3	25	123	0	28	1479	0	1
3092	1	1	6	0	28	1095	0	1
3093	1	1	6	0	28	1095	0	1
3094	1	1	6	0	28	1095	0	1
3095	1	1	6	0	28	1095	0	1
3096	1	1	6	0	28	1095	0	1
3096	1	5	49	0	6	153	0	1
3096	2	17	21	0	28	2292	0	1
3097	1	1	6	0	28	1095	0	1
3098	1	1	6	0	28	1095	0	1
3102	2	17	21	0	28	2292	0	1
3104	1	5	49	0	6	209	0	1
3107	1	5	49	0	6	209	0	1
3113	2	17	21	0	28	2292	0	1
3123	3	25	123	0	28	1479	0	1
3127	1	5	49	0	28	1479	0	1
3128	3	25	123	0	28	1479	0	1
3133	3	25	123	0	28	1479	0	1
3134	3	25	123	0	28	1479	0	1
3155	3	25	123	0	28	1479	0	1
3190	3	25	123	0	28	1479	0	1
3205	3	25	123	0	28	1479	0	1
3211	3	25	123	0	28	1479	0	1
3213	1	1	6	0	2	87	0	1
3214	1	1	6	0	2	87	0	1
3215	1	1	6	0	2	87	0	1
3216	1	1	6	0	2	87	0	1
3217	1	1	6	0	2	87	0	1
3218	1	1	6	0	2	87	0	1
3219	1	1	6	0	2	87	0	1
3220	1	1	6	0	28	1479	0	1
3223	1	1	6	0	28	1479	0	1
3224	1	1	6	0	28	1479	0	1
3225	1	1	6	0	28	1479	0	1
