% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.006	1	1	101	7	6	2	65
1.006	1	5	101	7	49	6	153
1.006	1	3	101	7	58	6	153
1.006	2	17	101	7	21	28	2292
1.006	2	19	101	7	62	28	2292
1.006	3	25	101	7	123	28	1479
1.007	1	1	101	8	6	2	65
1.007	1	5	101	8	49	6	153
1.007	1	3	101	8	58	6	153
1.008	1	1	101	9	6	2	65
1.008	1	5	101	9	49	6	153
1.008	1	3	101	9	58	6	153
1.009	1	1	101	10	6	2	65
1.009	1	5	101	10	49	6	153
1.009	1	3	101	10	58	6	153
1.01	1	1	102	1	6	2	65
1.01	1	5	102	1	49	6	153
1.01	1	3	102	1	58	6	153
1.011	1	1	102	2	6	2	65
1.011	1	5	102	2	49	6	153
1.011	1	3	102	2	58	6	153
1.012	1	1	102	3	6	2	65
1.012	1	5	102	3	49	6	153
1.012	1	3	102	3	58	6	153
1.012	2	17	102	3	21	28	2292
1.012	2	19	102	3	62	28	2292
1.012	3	25	102	3	123	28	1479
1.013	1	1	102	4	6	28	1095
1.013	3	25	102	4	123	28	1479
1.015	1	1	102	6	6	28	1095
1.016	1	1	102	7	6	28	1095
1.017	1	1	102	8	6	28	1095
1.018	1	1	102	9	6	28	1095
1.018	1	3	102	9	58	6	153
1.019	1	1	102	10	6	2	87
1.019	2	17	102	10	21	28	2292
1.019	2	19	102	10	62	28	2292
1.019	3	25	102	10	123	28	1479
1.02	1	1	103	1	6	28	1095
1.02	1	3	103	1	58	6	153
1.02	2	17	103	1	21	28	2292
1.02	2	19	103	1	62	28	2292
1.02	3	25	103	1	123	28	1479
1.021	1	3	103	2	58	6	209
1.021	3	25	103	2	123	28	1479
1.022	1	3	103	3	58	6	209
1.023	1	3	103	4	58	6	209
1.024	1	3	103	5	58	6	209
1.025	1	3	103	6	58	6	209
1.026	1	3	103	7	58	6	209
1.026	2	17	103	7	21	28	2292
1.026	2	19	103	7	62	28	2292
1.026	3	25	103	7	123	28	1479
1.027	1	3	103	8	58	6	209
1.027	2	17	103	8	21	28	2292
