% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
1003	3	23	23	0	0	0	165	0	1	0
1003	7	64	8	0	0	18	1980	0	1	1
1004	1	1	6	0	0	0	165	0	1	1
1004	7	69	1	0	0	16	1836	0	1	1
1005	7	63	3	0	0	14	1527	0	1	1
1006	4	39	74	0	0	0	165	0	1	0
1006	6	60	8	0	0	0	165	0	1	0
1006	7	70	2	0	0	12	1191	0	1	1
1007	7	61	7	0	0	10	935	0	1	1
1008	7	65	4	0	0	6	621	0	1	1
1009	7	62	6	0	0	6	621	0	1	1
1010	2	15	99	0	0	0	165	0	1	0
1010	5	49	67	0	0	0	165	0	1	0
1010	7	68	5	0	0	4	437	0	1	1
1011	2	14	108	0	0	0	165	0	1	0
1011	7	66	11	0	0	4	437	0	1	1
1012	7	67	12	0	0	4	437	0	1	1
1013	7	64	8	0	0	18	1980	0	1	1
1014	7	69	1	0	0	16	1836	0	1	1
1015	1	8	7	0	0	0	165	0	1	0
1015	7	63	3	0	0	14	1527	0	1	1
1016	7	70	2	0	0	12	1191	0	1	1
1017	3	29	85	0	0	0	165	0	1	0
1017	7	61	7	0	0	10	935	0	1	1
1018	1	2	19	0	0	0	165	0	1	0
1018	7	68	5	0	0	4	437	0	1	1
1019	7	66	11	0	0	4	437	0	1	1
1020	7	67	12	0	0	4	437	0	1	1
1021	7	65	4	0	0	6	621	0	1	1
1022	1	8	7	0	0	0	165	1	0	1
1022	7	62	6	0	0	6	621	0	1	1
1023	7	64	8	0	0	18	1980	0	1	1
1024	7	69	1	0	0	16	1836	0	1	1
1025	7	63	3	0	0	14	1527	0	1	1
1026	7	70	2	0	0	12	1191	0	1	1
1027	7	61	7	0	0	10	935	0	1	1
1028	7	68	5	0	0	4	437	0	1	1
1029	7	66	11	0	0	4	437	0	1	1
1030	7	67	12	0	0	4	437	0	1	1
1031	6	56	54	0	0	0	165	0	1	0
1031	7	65	4	0	0	6	621	0	1	1
1032	7	62	6	0	0	6	621	0	1	1
1033	7	64	8	0	0	18	1980	0	1	1
1034	3	21	237	0	0	0	165	0	1	0
1034	7	69	1	0	0	16	1836	0	1	1
1035	2	20	15	0	0	0	165	0	1	0
1035	7	63	3	0	0	14	1527	0	1	1
1036	1	1	6	0	0	0	165	0	1	1
1036	7	70	2	0	0	12	1191	0	1	1
1037	7	61	7	0	0	10	935	0	1	1
1038	7	68	5	0	0	4	437	0	1	1
1039	7	66	11	0	0	4	437	0	1	1
1040	1	2	19	0	0	0	165	0	1	0
1040	7	67	12	0	0	4	437	0	1	1
1041	1	9	23	0	0	0	165	0	1	0
1041	7	65	4	0	0	6	621	0	1	1
1042	2	20	15	0	0	0	165	1	0	0
1042	7	62	6	0	0	6	621	0	1	1
1043	1	3	58	0	0	0	165	0	1	0
1043	7	64	8	0	0	18	1980	0	1	1
1044	7	69	1	0	0	16	1836	0	1	1
1045	2	13	116	0	0	0	165	0	1	0
1045	7	63	3	0	0	14	1527	0	1	1
1046	1	1	6	0	0	0	165	0	1	1
1046	7	70	2	0	0	12	1191	0	1	1
1047	1	2	19	0	0	0	165	1	0	1
1047	7	61	7	0	0	10	935	0	1	1
1048	1	9	23	0	0	0	165	1	0	1
1048	2	11	34	0	0	0	165	0	1	0
1048	7	68	5	0	0	4	437	0	1	1
1049	1	8	7	0	0	0	165	0	1	0
1049	7	66	11	0	0	4	437	0	1	1
1050	2	18	36	0	0	0	165	0	1	0
1050	7	67	12	0	0	4	437	0	1	1
1051	7	65	4	0	0	6	621	0	1	1
1052	3	25	123	0	0	0	165	0	1	0
1052	7	62	6	0	0	6	621	0	1	1
1053	7	64	8	0	0	18	1980	0	1	1
1054	1	9	23	0	0	0	165	0	1	0
1054	5	42	12	0	0	0	165	0	1	0
1054	7	69	1	0	0	16	1836	0	1	1
1055	5	43	23	0	0	0	165	0	1	0
1055	7	63	3	0	0	14	1527	0	1	1
1056	7	70	2	0	0	12	1191	0	1	1
