% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.001	1	4	101	2	3	0	165	0	0
1.001	2	20	101	2	15	0	165	0	0
1.001	3	23	101	2	23	0	165	0	0
1.001	4	40	101	2	33	0	165	0	0
1.001	5	42	101	2	12	0	165	0	0
1.001	6	57	101	2	1	0	165	0	0
1.001	7	64	101	2	8	18	1980	0	0
1.002	1	1	101	3	6	0	165	0	0
1.002	2	17	101	3	21	0	165	0	0
1.002	3	30	101	3	59	0	165	0	0
1.002	4	38	101	3	37	0	165	0	0
1.002	5	43	101	3	23	0	165	0	0
1.002	6	58	101	3	2	0	165	0	0
1.002	7	69	101	3	1	16	1836	0	0
1.003	1	8	101	4	7	0	165	0	0
1.003	2	11	101	4	34	0	165	0	0
1.003	3	27	101	4	65	0	165	0	0
1.003	4	37	101	4	42	0	165	0	0
1.003	5	45	101	4	33	0	165	0	0
1.003	6	59	101	4	3	0	165	0	0
1.003	7	63	101	4	3	14	1527	0	0
1.004	1	7	101	5	8	0	165	0	0
1.004	2	18	101	5	36	0	165	0	0
1.004	3	29	101	5	85	0	165	0	0
1.004	4	39	101	5	74	0	165	0	0
1.004	5	50	101	5	45	0	165	0	0
1.004	6	60	101	5	8	0	165	0	0
1.004	7	70	101	5	2	12	1191	0	0
1.005	1	10	101	6	15	0	165	0	0
1.005	2	16	101	6	44	0	165	0	0
1.005	3	24	101	6	94	0	165	0	0
1.005	4	34	101	6	89	0	165	0	0
1.005	5	47	101	6	49	0	165	0	0
1.005	6	53	101	6	12	0	165	0	0
1.005	7	61	101	6	7	10	935	0	0
1.006	1	2	101	7	19	0	165	0	0
1.006	2	19	101	7	62	0	165	0	0
1.006	3	26	101	7	102	0	165	0	0
1.006	4	31	101	7	93	0	165	0	0
1.006	5	46	101	7	56	0	165	0	0
1.006	6	52	101	7	30	0	165	0	0
1.006	7	65	101	7	4	6	621	0	0
1.007	1	9	101	8	23	0	165	0	0
1.007	2	12	101	8	73	0	165	0	0
1.007	3	25	101	8	123	0	165	0	0
1.007	4	32	101	8	110	0	165	0	0
1.007	5	41	101	8	58	0	165	0	0
1.007	6	55	101	8	40	0	165	0	0
1.007	7	62	101	8	6	6	621	0	0
1.008	1	5	101	9	49	0	165	0	0
1.008	2	15	101	9	99	0	165	0	0
1.008	3	23	101	9	23	0	165	0	0
1.008	4	36	101	9	121	0	165	0	0
1.008	5	49	101	9	67	0	165	0	0
1.008	6	56	101	9	54	0	165	0	0
1.008	7	68	101	9	5	4	437	0	0
1.009	1	3	101	10	58	0	165	0	0
1.009	2	14	101	10	108	0	165	0	0
1.009	3	22	101	10	160	0	165	0	0
1.009	4	33	101	10	126	0	165	0	0
1.009	5	48	101	10	77	0	165	0	0
1.009	6	54	101	10	55	0	165	0	0
1.009	7	66	101	10	11	4	437	0	0
1.01	1	6	102	1	59	0	165	0	0
1.01	2	13	102	1	116	0	165	0	0
1.01	3	28	102	1	219	0	165	0	0
1.01	4	35	102	1	145	0	165	0	0
